batsmen,dismissed,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,team,match_name,innings,scorecard_id
George Worker,b Tickner,56,91,124,6,0,61.53,Auckland,22nd-match,1st,1391892
Cole Briggs,st Cleaver b Patel,49,56,80,4,2,87.5,Auckland,22nd-match,1st,1391892
Mark Chapman,c Boyle b Patel,12,22,19,0,0,54.54,Auckland,22nd-match,1st,1391892
Robert O'Donnell,c Schmulian b Patel,8,21,31,0,0,38.09,Auckland,22nd-match,1st,1391892
William O'Donnell,c Lennox b Clarkson,35,50,87,3,1,70.0,Auckland,22nd-match,1st,1391892
Cam Fletcher,c Cleaver b Lennox,6,11,20,0,0,54.54,Auckland,22nd-match,1st,1391892
Ryan Harrison,c Cleaver b Toole,5,6,6,1,0,83.33,Auckland,22nd-match,1st,1391892
Jock McKenzie,lbw b Lennox,0,4,5,0,0,0.0,Auckland,22nd-match,1st,1391892
Louis Delport,c Cleaver b Tickner,28,21,28,2,3,133.33,Auckland,22nd-match,1st,1391892
Angus Olliver,c Wiggins b Toole,17,12,23,0,2,141.66,Auckland,22nd-match,1st,1391892
Ben Lister,not out,0,2,4,0,0,0.0,Auckland,22nd-match,1st,1391892
Jack Boyle,c Fletcher b Olliver,5,17,21,0,0,29.41,Central Districts,22nd-match,1st,1391892
Curtis Heaphy,c Worker b Delport,52,87,132,1,0,59.77,Central Districts,22nd-match,1st,1391892
Brad Schmulian,not out,104,127,181,9,0,81.88,Central Districts,22nd-match,1st,1391892
Dane Cleaver,c Briggs b McKenzie,35,27,32,3,1,129.62,Central Districts,22nd-match,1st,1391892
Josh Clarkson,b Lister,28,28,26,1,2,100.0,Central Districts,22nd-match,1st,1391892
William Clark,not out,8,9,11,1,0,88.88,Central Districts,22nd-match,1st,1391892
Mathew Christensen,c Cloete b Pollard,0,19,0,0,0,0.0,South Western Districts,17th-Match,1st,1394675
Blayde Capell,c Botha b Langa,29,35,0,4,0,82.85,South Western Districts,17th-Match,1st,1394675
Rhupino Plaatjies,lbw b Langa,4,18,0,0,0,22.22,South Western Districts,17th-Match,1st,1394675
Jean du Plessis,b Langa,0,2,0,0,0,0.0,South Western Districts,17th-Match,1st,1394675
Kelly Smuts,c Cloete b van Vuuren,9,28,0,1,0,32.14,South Western Districts,17th-Match,1st,1394675
Jhedli van Briesies,c van Vuuren b Pollard,4,20,0,0,0,20.0,South Western Districts,17th-Match,1st,1394675
Pheko Moletsane,b Forrester,7,40,0,1,0,17.5,South Western Districts,17th-Match,1st,1394675
Thomas Kaber,b Langa,5,13,0,1,0,38.46,South Western Districts,17th-Match,1st,1394675
Jarred Jardine,not out,2,11,0,0,0,18.18,South Western Districts,17th-Match,1st,1394675
Khwezi Gumede,lbw b Langa,1,5,0,0,0,20.0,South Western Districts,17th-Match,1st,1394675
Sintu Majeza,lbw b Forrester,1,4,0,0,0,25.0,South Western Districts,17th-Match,1st,1394675
Isaac Dikgale,c du Plessis b Smuts,17,55,0,2,0,30.9,Knights,17th-Match,1st,1394675
Jacques Snyman,lbw b Gumede,17,18,0,4,0,94.44,Knights,17th-Match,1st,1394675
Dian Forrester,lbw b Gumede,12,19,0,1,0,63.15,Knights,17th-Match,1st,1394675
Gihahn Cloete,b Jardine,81,108,0,10,0,75.0,Knights,17th-Match,1st,1394675
Patrick Botha,b Kaber,33,44,0,4,0,75.0,Knights,17th-Match,1st,1394675
Aubrey Swanepoel,b Majeza,12,41,0,1,0,29.26,Knights,17th-Match,1st,1394675
Matthew Pollard,lbw b Kaber,0,2,0,0,0,0.0,Knights,17th-Match,1st,1394675
Tiaan van Vuuren,b Kaber,11,16,0,2,0,68.75,Knights,17th-Match,1st,1394675
Sithembile Langa,c Kaber b Smuts,3,15,0,0,0,20.0,Knights,17th-Match,1st,1394675
Monde Maqunqu,not out,0,13,0,0,0,0.0,Knights,17th-Match,1st,1394675
Nhlakanipho Mpungose,c du Plessis b Majeza,10,8,0,2,0,125.0,Knights,17th-Match,1st,1394675
Mathew Christensen,c Forrester b Langa,33,56,0,5,0,58.92,South Western Districts,17th-Match,2nd,1394675
Blayde Capell,c Cloete b van Vuuren,29,43,0,3,0,67.44,South Western Districts,17th-Match,2nd,1394675
Rhupino Plaatjies,b van Vuuren,9,29,0,0,0,31.03,South Western Districts,17th-Match,2nd,1394675
Jean du Plessis,c Cloete b van Vuuren,56,93,0,8,0,60.21,South Western Districts,17th-Match,2nd,1394675
Kelly Smuts,c van Vuuren b Pollard,6,18,0,1,0,33.33,South Western Districts,17th-Match,2nd,1394675
Jhedli van Briesies,c Cloete b van Vuuren,32,58,0,4,0,55.17,South Western Districts,17th-Match,2nd,1394675
Pheko Moletsane,c Forrester b Langa,0,5,0,0,0,0.0,South Western Districts,17th-Match,2nd,1394675
Thomas Kaber,c Snyman b Swanepoel,61,72,0,9,1,84.72,South Western Districts,17th-Match,2nd,1394675
Jarred Jardine,b Swanepoel,27,37,0,2,1,72.97,South Western Districts,17th-Match,2nd,1394675
Khwezi Gumede,run out (van Vuuren),0,5,0,0,0,0.0,South Western Districts,17th-Match,2nd,1394675
Sintu Majeza,not out,2,9,0,0,0,22.22,South Western Districts,17th-Match,2nd,1394675
Isaac Dikgale,not out,53,68,0,4,1,77.94,Knights,17th-Match,2nd,1394675
Jacques Snyman,c Capell b Gumede,58,44,0,7,1,131.81,Knights,17th-Match,2nd,1394675
Dian Forrester,not out,10,20,0,1,0,50.0,Knights,17th-Match,2nd,1394675
Kraigg Brathwaite,c Kallicharan b Edmond,7,34,0,0,0,20.58,Barbados,2nd-Match,1st,1419860
Zachary McCaskie,c Hackett b Blades,30,63,0,4,0,47.61,Barbados,2nd-Match,1st,1419860
Shayne Moseley,c Brooks b Carter,10,19,0,1,0,52.63,Barbados,2nd-Match,1st,1419860
Jonathan Drakes,c & b Greaves,84,99,0,13,0,84.84,Barbados,2nd-Match,1st,1419860
Kevin Wickham,b Motara,139,135,0,8,9,102.96,Barbados,2nd-Match,1st,1419860
Roshon Primus,c Carter b Greaves,5,15,0,1,0,33.33,Barbados,2nd-Match,1st,1419860
Shane Dowrich,b Blades,41,50,0,5,1,82.0,Barbados,2nd-Match,1st,1419860
Akeem Jordan,c Hackett b Motara,14,16,0,2,0,87.5,Barbados,2nd-Match,1st,1419860
Chaim Holder,not out,4,6,0,0,0,66.66,Barbados,2nd-Match,1st,1419860
Chemar Holder,not out,0,0,0,0,0,0.0,Barbados,2nd-Match,1st,1419860
Kirstan Kallicharan,b Akeem Jordan,7,53,0,1,0,13.2,Comb C&C,2nd-Match,1st,1419860
Shaqkere Parris,c Primus b Warrican,44,108,0,6,0,40.74,Comb C&C,2nd-Match,1st,1419860
Romario Greaves,b Primus,0,7,0,0,0,0.0,Comb C&C,2nd-Match,1st,1419860
Shamarh Brooks,b CAM Holder,6,25,0,0,0,24.0,Comb C&C,2nd-Match,1st,1419860
Shatrughan Rambaran,c Dowrich b Akeem Jordan,1,3,0,0,0,33.33,Comb C&C,2nd-Match,1st,1419860
Jonathan Carter,b Warrican,59,131,0,7,0,45.03,Comb C&C,2nd-Match,1st,1419860
Demario Richards,c Drakes b Warrican,28,93,0,1,2,30.1,Comb C&C,2nd-Match,1st,1419860
Sion Hackett,c Dowrich b CAM Holder,0,2,0,0,0,0.0,Comb C&C,2nd-Match,1st,1419860
Zishan Motara,b Warrican,13,27,0,0,1,48.14,Comb C&C,2nd-Match,1st,1419860
Jediah Blades,b CAM Holder,14,20,0,2,0,70.0,Comb C&C,2nd-Match,1st,1419860
Govasta Edmond,not out,4,5,0,0,0,80.0,Comb C&C,2nd-Match,1st,1419860
Kirstan Kallicharan,c Drakes b CAM Holder,24,61,0,4,0,39.34,Barbados,2nd-Match,2nd,1419860
Shaqkere Parris,b Akeem Jordan,5,13,0,0,0,38.46,Barbados,2nd-Match,2nd,1419860
Shamarh Brooks,lbw b CAM Holder,72,134,0,7,0,53.73,Barbados,2nd-Match,2nd,1419860
Shatrughan Rambaran,b CAM Holder,23,61,0,2,0,37.7,Barbados,2nd-Match,2nd,1419860
Jonathan Carter,c Akeem Jordan b CK Holder,1,9,0,0,0,11.11,Barbados,2nd-Match,2nd,1419860
Demario Richards,b CAM Holder,47,82,0,6,0,57.31,Barbados,2nd-Match,2nd,1419860
Romario Greaves,lbw b CAM Holder,2,14,0,0,0,14.28,Barbados,2nd-Match,2nd,1419860
Sion Hackett,lbw b Warrican,5,23,0,1,0,21.73,Barbados,2nd-Match,2nd,1419860
Zishan Motara,c Dowrich b Warrican,0,3,0,0,0,0.0,Barbados,2nd-Match,2nd,1419860
Jediah Blades,lbw b Warrican,2,6,0,0,0,33.33,Barbados,2nd-Match,2nd,1419860
Govasta Edmond,not out,0,0,0,0,0,0.0,Barbados,2nd-Match,2nd,1419860
Kraigg Brathwaite,lbw b Blades,0,3,0,0,0,0.0,Comb C&C,2nd-Match,2nd,1419860
Zachary McCaskie,not out,28,14,0,5,0,200.0,Comb C&C,2nd-Match,2nd,1419860
Shayne Moseley,not out,7,11,0,1,0,63.63,Comb C&C,2nd-Match,2nd,1419860
Mikyle Louis,c Auguste b Layne,9,21,0,1,0,42.85,Leeward Islands,3rd-Match,1st,1419861
Joshua Grant,c Nedd b Young,0,1,0,0,0,0.0,Leeward Islands,3rd-Match,1st,1419861
Kofi James,c Bishop b Young,0,3,0,0,0,0.0,Leeward Islands,3rd-Match,1st,1419861
Karima Gore,c Auguste b Bishop,15,34,0,2,0,44.11,Leeward Islands,3rd-Match,1st,1419861
Jahmar Hamilton,lbw b James,22,26,0,5,0,84.61,Leeward Islands,3rd-Match,1st,1419861
Terrence Warde,c Bowen-Tuckett b James,28,68,0,4,0,41.17,Leeward Islands,3rd-Match,1st,1419861
Rahkeem Cornwall,c Bowen-Tuckett b James,1,6,0,0,0,16.66,Leeward Islands,3rd-Match,1st,1419861
Jeremiah Louis,c Alleyne b Nedd,45,122,0,7,0,36.88,Leeward Islands,3rd-Match,1st,1419861
Colin Archibald,c Auguste b Nedd,10,22,0,1,0,45.45,Leeward Islands,3rd-Match,1st,1419861
Daniel Doram,c Auguste b Layne,0,17,0,0,0,0.0,Leeward Islands,3rd-Match,1st,1419861
Javier Spencer,not out,0,5,0,0,0,0.0,Leeward Islands,3rd-Match,1st,1419861
Rashawn Worrell,c Hamilton b Archibald,13,44,0,2,0,29.54,West Indies Academy,3rd-Match,1st,1419861
Kadeem Alleyne,b JS Louis,2,13,0,0,0,15.38,West Indies Academy,3rd-Match,1st,1419861
Mbeki Joseph,c James b Spencer,42,64,0,6,0,65.62,West Indies Academy,3rd-Match,1st,1419861
Ackeem Auguste,c Gore b Spencer,19,37,0,3,0,51.35,West Indies Academy,3rd-Match,1st,1419861
Rivaldo Clarke,c Hamilton b JS Louis,16,16,0,2,0,100.0,West Indies Academy,3rd-Match,1st,1419861
Nyeem Young,lbw b JS Louis,0,2,0,0,0,0.0,West Indies Academy,3rd-Match,1st,1419861
Carlon Bowen-Tuckett,c Cornwall b JS Louis,0,9,0,0,0,0.0,West Indies Academy,3rd-Match,1st,1419861
Joshua James,c James b Cornwall,12,31,0,2,0,38.7,West Indies Academy,3rd-Match,1st,1419861
Joshua Bishop,c M Louis b Spencer,48,47,0,8,2,102.12,West Indies Academy,3rd-Match,1st,1419861
Ashmead Nedd,b JS Louis,6,27,0,1,0,22.22,West Indies Academy,3rd-Match,1st,1419861
Johann Layne,not out,4,1,0,1,0,400.0,West Indies Academy,3rd-Match,1st,1419861
Mikyle Louis,c Clarke b Young,55,102,0,9,0,53.92,Leeward Islands,3rd-Match,2nd,1419861
Joshua Grant,lbw b Layne,0,11,0,0,0,0.0,Leeward Islands,3rd-Match,2nd,1419861
Kofi James,c James b Layne,35,60,0,5,1,58.33,Leeward Islands,3rd-Match,2nd,1419861
Karima Gore,lbw b Young,0,3,0,0,0,0.0,Leeward Islands,3rd-Match,2nd,1419861
Jahmar Hamilton,st Bowen-Tuckett b Bishop,70,153,0,6,0,45.75,Leeward Islands,3rd-Match,2nd,1419861
Daniel Doram,c Young b Layne,13,48,0,3,0,27.08,Leeward Islands,3rd-Match,2nd,1419861
Terrence Warde,lbw b Nedd,33,124,0,3,0,26.61,Leeward Islands,3rd-Match,2nd,1419861
Colin Archibald,c Joseph b Bishop,0,3,0,0,0,0.0,Leeward Islands,3rd-Match,2nd,1419861
Jeremiah Louis,not out,6,8,0,1,0,75.0,Leeward Islands,3rd-Match,2nd,1419861
Rahkeem Cornwall,c James b Bishop,5,8,0,1,0,62.5,Leeward Islands,3rd-Match,2nd,1419861
Javier Spencer,b Nedd,0,6,0,0,0,0.0,Leeward Islands,3rd-Match,2nd,1419861
Rashawn Worrell,c Grant b Cornwall,21,44,0,3,0,47.72,West Indies Academy,3rd-Match,2nd,1419861
Kadeem Alleyne,c Spencer b Archibald,57,20,0,8,3,285.0,West Indies Academy,3rd-Match,2nd,1419861
Mbeki Joseph,not out,43,64,0,2,4,67.18,West Indies Academy,3rd-Match,2nd,1419861
Ackeem Auguste,b JS Louis,22,43,0,3,0,51.16,West Indies Academy,3rd-Match,2nd,1419861
Rivaldo Clarke,c Archibald b JS Louis,8,7,0,0,1,114.28,West Indies Academy,3rd-Match,2nd,1419861
Nyeem Young,c Doram b JS Louis,0,5,0,0,0,0.0,West Indies Academy,3rd-Match,2nd,1419861
Joshua James,not out,41,21,0,2,5,195.23,West Indies Academy,3rd-Match,2nd,1419861
Phil Salt,c Ngarava b van der Merwe,26,11,21,4,1,236.36,Desert Vipers,27th-Match,1st,1406915
Alex Hales,c Ngarava b Stone,66,37,53,4,6,178.37,Desert Vipers,27th-Match,1st,1406915
Dan Lawrence,c Chopra b van der Merwe,15,11,14,1,1,136.36,Desert Vipers,27th-Match,1st,1406915
Colin Munro,b Stone,6,5,6,1,0,120.0,Desert Vipers,27th-Match,1st,1406915
Sam Curran,lbw b Haider Ali,17,18,27,1,0,94.44,Desert Vipers,27th-Match,1st,1406915
Adam Hose,lbw b Sikandar Raza,7,8,9,0,0,87.5,Desert Vipers,27th-Match,1st,1406915
Michael Jones,c Shanaka b Kuggeleijn,20,20,21,1,1,100.0,Desert Vipers,27th-Match,1st,1406915
Ali Naseer,not out,6,6,19,0,0,100.0,Desert Vipers,27th-Match,1st,1406915
Rohan Mustafa,not out,6,4,4,0,0,150.0,Desert Vipers,27th-Match,1st,1406915
Tom Banton,c Lawrence b Ali Naseer,15,16,27,2,0,93.75,Dubai Capitals,27th-Match,1st,1406915
Max Holden,c Hose b Curran,8,4,7,2,0,200.0,Dubai Capitals,27th-Match,1st,1406915
Ben Dunk,b Mohammad Amir,1,3,4,0,0,33.33,Dubai Capitals,27th-Match,1st,1406915
Sam Billings,lbw b Pathirana,57,36,54,5,2,158.33,Dubai Capitals,27th-Match,1st,1406915
Sikandar Raza,not out,60,45,68,5,2,133.33,Dubai Capitals,27th-Match,1st,1406915
Dasun Shanaka,b Curran,10,11,16,0,0,90.9,Dubai Capitals,27th-Match,1st,1406915
Scott Kuggeleijn,not out,7,5,9,1,0,140.0,Dubai Capitals,27th-Match,1st,1406915
Chaturanga de Silva,c Guest b Al Islam,14,13,19,3,0,107.69,Durdanto Dhaka,26th-Match,1st,1412299
Mohammad Naim,hit wicket b Forde,64,45,82,9,1,142.22,Durdanto Dhaka,26th-Match,1st,1412299
Saif Hassan,c Litton Das b Forde,57,42,60,4,3,135.71,Durdanto Dhaka,26th-Match,1st,1412299
Alex Ross,not out,21,11,25,2,1,190.9,Durdanto Dhaka,26th-Match,1st,1412299
Andre McCarthy,c Jaker Ali b Forde,0,1,2,0,0,0.0,Durdanto Dhaka,26th-Match,1st,1412299
SM Meherob,not out,11,8,15,2,0,137.5,Durdanto Dhaka,26th-Match,1st,1412299
Will Jacks,run out (Ross/Tahjibul Islam),9,5,14,2,0,180.0,Comilla Victorians,26th-Match,1st,1412299
Litton Das,lbw b Shoriful Islam,8,5,7,0,1,160.0,Comilla Victorians,26th-Match,1st,1412299
Towhid Hridoy,not out,108,57,96,8,7,189.47,Comilla Victorians,26th-Match,1st,1412299
Imrul Kayes,c de Silva b Shoriful Islam,1,3,3,0,0,33.33,Comilla Victorians,26th-Match,1st,1412299
Brooke Guest,c Saif Hassan b de Silva,34,35,48,4,1,97.14,Comilla Victorians,26th-Match,1st,1412299
Raymon Reifer,c McCarthy b Arafat Sunny,6,4,8,1,0,150.0,Comilla Victorians,26th-Match,1st,1412299
Jaker Ali,c sub (SMLD Samarakoon) b Mohammad Irfan,6,10,23,0,0,60.0,Comilla Victorians,26th-Match,1st,1412299
Matthew Forde,not out,1,1,2,0,0,100.0,Comilla Victorians,26th-Match,1st,1412299
Anamul Haque,not out,67,58,80,5,2,115.51,Khulna Tigers,25th-Match,1st,1412298
Evin Lewis,c Ariful Haque b Patel,12,10,9,3,0,120.0,Khulna Tigers,25th-Match,1st,1412298
Afif Hossain,lbw b Howell,24,16,18,3,1,150.0,Khulna Tigers,25th-Match,1st,1412298
Mahmudul Hasan Joy,c Tanzim Hasan Sakib b Sunzamul Islam,1,6,5,0,0,16.66,Khulna Tigers,25th-Match,1st,1412298
Habibur Rahman Sohan,not out,43,30,46,3,3,143.33,Khulna Tigers,25th-Match,1st,1412298
Harry Tector,c Habibur Rahman Sohan b Sumon Khan,61,52,85,6,3,117.3,Sylhet Strikers,25th-Match,1st,1412298
Samit Patel,c Lewis b Nahidul Islam,13,9,10,0,2,144.44,Sylhet Strikers,25th-Match,1st,1412298
Najmul Hossain Shanto,c Nahidul Islam b Deyal,18,16,28,3,0,112.5,Sylhet Strikers,25th-Match,1st,1412298
Zakir Hasan,c Rubel Hossain b Deyal,0,2,1,0,0,0.0,Sylhet Strikers,25th-Match,1st,1412298
Mohammad Mithun,st Anamul Haque b Deyal,24,19,25,3,0,126.31,Sylhet Strikers,25th-Match,1st,1412298
Ryan Burl,not out,32,16,22,1,3,200.0,Sylhet Strikers,25th-Match,1st,1412298
Ariful Haque,not out,1,1,3,0,0,100.0,Sylhet Strikers,25th-Match,1st,1412298
Pathum Nissanka,not out,210,139,221,20,8,151.07,Sri Lanka,1st-ODI,1st,1416074
Avishka Fernando,c Ibrahim Zadran b Fareed Ahmad,88,88,111,8,3,100.0,Sri Lanka,1st-ODI,1st,1416074
Kusal Mendis,c Gulbadin Naib b Mohammad Nabi,16,31,34,1,0,51.61,Sri Lanka,1st-ODI,1st,1416074
Sadeera Samarawickrama,c Azmatullah Omarzai b Fareed Ahmad,45,36,58,4,1,125.0,Sri Lanka,1st-ODI,1st,1416074
Charith Asalanka,not out,7,8,13,0,0,87.5,Sri Lanka,1st-ODI,1st,1416074
Rahmanullah Gurbaz,b Pramod Madushan,1,3,5,0,0,33.33,Afghanistan,1st-ODI,1st,1416074
Ibrahim Zadran,c Nissanka b Pramod Madushan,4,7,15,1,0,57.14,Afghanistan,1st-ODI,1st,1416074
Rahmat Shah,c Mendis b Chameera,7,14,26,0,0,50.0,Afghanistan,1st-ODI,1st,1416074
Hashmatullah Shahidi,b Pramod Madushan,7,11,10,1,0,63.63,Afghanistan,1st-ODI,1st,1416074
Azmatullah Omarzai,not out,149,115,197,13,6,129.56,Afghanistan,1st-ODI,1st,1416074
Gulbadin Naib,c Nissanka b Chameera,16,7,11,4,0,228.57,Afghanistan,1st-ODI,1st,1416074
Mohammad Nabi,c & b Pramod Madushan,136,130,157,15,3,104.61,Afghanistan,1st-ODI,1st,1416074
Ikram Alikhil,not out,10,14,20,1,0,71.42,Afghanistan,1st-ODI,1st,1416074
David Warner,c Pooran b Joseph,70,36,58,12,1,194.44,Australia,1st-T20I,1st,1375850
Josh Inglis,c Powell b Holder,39,25,35,5,1,156.0,Australia,1st-T20I,1st,1375850
Mitchell Marsh,c Pooran b Joseph,16,13,18,0,1,123.07,Australia,1st-T20I,1st,1375850
Glenn Maxwell,c King b Shepherd,10,8,19,1,0,125.0,Australia,1st-T20I,1st,1375850
Marcus Stoinis,c Joseph b Russell,9,6,7,0,1,150.0,Australia,1st-T20I,1st,1375850
Tim David,not out,37,17,32,4,2,217.64,Australia,1st-T20I,1st,1375850
Matthew Wade,c sub (RL Chase) b Russell,21,14,21,1,1,150.0,Australia,1st-T20I,1st,1375850
Sean Abbott,b Russell,0,1,1,0,0,0.0,Australia,1st-T20I,1st,1375850
Adam Zampa,not out,4,1,1,1,0,400.0,Australia,1st-T20I,1st,1375850
Brandon King,c Abbott b Stoinis,53,37,47,7,1,143.24,West Indies,1st-T20I,1st,1375850
Johnson Charles,c Warner b Zampa,42,25,37,6,1,168.0,West Indies,1st-T20I,1st,1375850
Nicholas Pooran,c Abbott b Zampa,18,17,38,0,2,105.88,West Indies,1st-T20I,1st,1375850
Rovman Powell,c Abbott b Maxwell,14,5,5,0,2,280.0,West Indies,1st-T20I,1st,1375850
Shai Hope,c Abbott b Stoinis,16,8,13,3,0,200.0,West Indies,1st-T20I,1st,1375850
Andre Russell,b Zampa,1,2,2,0,0,50.0,West Indies,1st-T20I,1st,1375850
Sherfane Rutherford,c sub (AM Hardie) b Abbott,7,4,8,0,1,175.0,West Indies,1st-T20I,1st,1375850
Romario Shepherd,c Marsh b Behrendorff,2,3,9,0,0,66.66,West Indies,1st-T20I,1st,1375850
Jason Holder,not out,34,15,18,3,2,226.66,West Indies,1st-T20I,1st,1375850
Akeal Hosein,not out,7,5,11,1,0,140.0,West Indies,1st-T20I,1st,1375850
Aman Desai,c Luqman Butt b Godara,0,2,0,0,0,0.0,Singapore,2nd-semi-final,1st,1418195
Aritra Dutta,run out (Lakshit Gupta),1,2,0,0,0,50.0,Singapore,2nd-semi-final,1st,1418195
Rohan Rangarajan,c Hathinjar b Godara,7,11,0,1,0,63.63,Singapore,2nd-semi-final,1st,1418195
Anish Paraam,b Utkarsh Jain,1,7,0,0,0,14.28,Singapore,2nd-semi-final,1st,1418195
Surendran Chandramohan,c Luqman Butt b Utkarsh Jain,17,18,0,3,0,94.44,Singapore,2nd-semi-final,1st,1418195
Avi Dixit,c Beukes b Sharan,10,11,0,1,0,90.9,Singapore,2nd-semi-final,1st,1418195
Raoul Sharma,c Hathinjar b Murtaza,39,34,0,4,1,114.7,Singapore,2nd-semi-final,1st,1418195
Harsha Bharadwaj,b Murtaza,1,5,0,0,0,20.0,Singapore,2nd-semi-final,1st,1418195
Akshay Puri,c Luqman Butt b Sharan,2,10,0,0,0,20.0,Singapore,2nd-semi-final,1st,1418195
Sachin Banamali,not out,8,13,0,0,0,61.53,Singapore,2nd-semi-final,1st,1418195
Ramesh Kalimuthu,b Sharan,7,7,0,1,0,100.0,Singapore,2nd-semi-final,1st,1418195
Salvin Stanly,c Sharma b Kalimuthu,0,1,0,0,0,0.0,Cambodia,2nd-semi-final,1st,1418195
Uday Hathinjar,c Aman Desai b Kalimuthu,7,6,0,1,0,116.66,Cambodia,2nd-semi-final,1st,1418195
Ram Sharan,not out,61,46,0,4,4,132.6,Cambodia,2nd-semi-final,1st,1418195
Lakshit Gupta,b Bharadwaj,16,13,0,3,0,123.07,Cambodia,2nd-semi-final,1st,1418195
Luqman Butt,b Paraam,16,17,0,3,0,94.11,Cambodia,2nd-semi-final,1st,1418195
Etienne Beukes,not out,9,6,0,0,1,150.0,Cambodia,2nd-semi-final,1st,1418195
Lachlan Yamamoto-Lake,b Ishtiaq Ahmad,0,4,0,0,0,0.0,Japan,1st-semi-final,1st,1418194
Koji Abe,b Usman Najeeb,15,24,0,2,0,62.5,Japan,1st-semi-final,1st,1418194
Kendel Kadowaki-Fleming,c Usman Najeeb b Ishtiaq Ahmad,1,4,0,0,0,25.0,Japan,1st-semi-final,1st,1418194
Shirai-Patmore,c Haseeb Ghafoor b Abdul Waheed,19,22,0,2,0,86.36,Japan,1st-semi-final,1st,1418194
Sabaorish Ravichandran,b Hisham Shaikh,16,18,0,2,0,88.88,Japan,1st-semi-final,1st,1418194
Declan Suzuki,c Usman Khalid b Ishtiaq Ahmad,26,21,0,4,0,123.8,Japan,1st-semi-final,1st,1418194
Ibrahim Takahashi,c Haseeb Ghafoor b Usman Najeeb,5,14,0,0,0,35.71,Japan,1st-semi-final,1st,1418194
Reo Sakurano-Thomas,not out,10,8,0,0,0,125.0,Japan,1st-semi-final,1st,1418194
Charles Hinze,b Usman Najeeb,0,1,0,0,0,0.0,Japan,1st-semi-final,1st,1418194
Ryan Drake,not out,1,4,0,0,0,25.0,Japan,1st-semi-final,1st,1418194
Abdul Waheed,not out,23,21,0,3,1,109.52,Saudi Arabia,1st-semi-final,1st,1418194
Faisal Khan,not out,72,33,0,10,4,218.18,Saudi Arabia,1st-semi-final,1st,1418194
Syed Aziz,b Yasim Murtaza,22,22,0,1,3,100.0,Malaysia,3rd-ODI,1st,1418538
Virandeep Singh,c Nizakat Khan b Ehsan Nawaz,63,70,0,4,3,90.0,Malaysia,3rd-ODI,1st,1418538
Sharvin Muniandy,b Pascoe,28,63,0,1,0,44.44,Malaysia,3rd-ODI,1st,1418538
Ahmad Faiz,not out,76,48,0,6,4,158.33,Malaysia,3rd-ODI,1st,1418538
Muhamad Syahadat,c Aizaz Khan b Pascoe,11,15,0,0,0,73.33,Malaysia,3rd-ODI,1st,1418538
Muhammad Amir,c Anshuman Rath b Aizaz Khan,9,9,0,2,0,100.0,Malaysia,3rd-ODI,1st,1418538
Khizar Hayat,not out,10,8,0,1,0,125.0,Malaysia,3rd-ODI,1st,1418538
Martin Coetzee,lbw b Virandeep Singh,18,26,0,3,0,69.23,Hong Kong,3rd-ODI,1st,1418538
Anshy Rath,c Syed Aziz b Muhammad Wafiq,33,24,0,7,0,137.5,Hong Kong,3rd-ODI,1st,1418538
Nizakat Khan,c Khizar Hayat b Muhammad Wafiq,6,8,0,1,0,75.0,Hong Kong,3rd-ODI,1st,1418538
Babar Hayat,b Syed Aziz,47,58,0,4,1,81.03,Hong Kong,3rd-ODI,1st,1418538
Aizaz Khan,c Muhammad Amir b Vijay Unni,89,74,0,5,5,120.27,Hong Kong,3rd-ODI,1st,1418538
Yasim Murtaza,c Syed Aziz b Muhammad Wafiq,25,19,0,1,1,131.57,Hong Kong,3rd-ODI,1st,1418538
Adit Gorawara,c Muhammad Amir b Muhammad Wafiq,6,4,0,1,0,150.0,Hong Kong,3rd-ODI,1st,1418538
Nasrulla Rana,c Muhammad Wafiq b Virandeep Singh,29,14,0,3,2,207.14,Hong Kong,3rd-ODI,1st,1418538
Ehsan Nawaz,not out,3,6,0,0,0,50.0,Hong Kong,3rd-ODI,1st,1418538
Dan Pascoe,not out,1,1,0,0,0,100.0,Hong Kong,3rd-ODI,1st,1418538
Chadwick Walton,b Lewis,4,13,0,1,0,30.76,Jamaica,1st-Match,1st,1419859
Carlos Brown,c Walcott b Springer,8,46,0,1,0,17.39,Jamaica,1st-Match,1st,1419859
Kirk McKenzie,b John,10,23,0,1,0,43.47,Jamaica,1st-Match,1st,1419859
Nkrumah Bonner,c Walcott b Springer,1,4,0,0,0,25.0,Jamaica,1st-Match,1st,1419859
Jermaine Blackwood,b John,14,18,0,2,0,77.77,Jamaica,1st-Match,1st,1419859
Abhijai Mansingh,lbw b John,16,53,0,2,0,30.18,Jamaica,1st-Match,1st,1419859
Romaine Morrison,run out (Dember/John),35,30,0,4,2,116.66,Jamaica,1st-Match,1st,1419859
Pete Salmon,c Jeremiah b Springer,26,31,0,3,1,83.87,Jamaica,1st-Match,1st,1419859
Derval Green,c Walcott b John,5,8,0,1,0,62.5,Jamaica,1st-Match,1st,1419859
Gordon Bryan,not out,17,11,0,2,1,154.54,Jamaica,1st-Match,1st,1419859
Marquino Mindley,c Descarte b John,13,10,0,3,0,130.0,Jamaica,1st-Match,1st,1419859
Kimani Melius,c Green b Mansingh,31,32,0,6,0,96.87,Windward Islands,1st-Match,1st,1419859
