batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Josh Inglis,c Ali b Rashid,3,6,5,0,0,50.0,Australia,36th-Match,1384427
Cameron Green,b Willey,47,52,81,5,0,90.38,Australia,36th-Match,1384427
Marcus Stoinis,c Bairstow b Livingstone,35,32,53,3,2,109.37,Australia,36th-Match,1384427
Pat Cummins,c Malan b Wood,10,13,17,1,0,76.92,Australia,36th-Match,1384427
Mitchell Starc,c Ali b Woakes,10,13,30,0,0,76.92,Australia,36th-Match,1384427
Adam Zampa,c Buttler b Woakes,29,19,23,4,0,152.63,Australia,36th-Match,1384427
Josh Hazlewood,not out,1,1,1,0,0,100.0,Australia,36th-Match,1384427
Jonny Bairstow,c Inglis b Starc,0,1,1,0,0,0.0,England,36th-Match,1384427
Dawid Malan,c Head b Cummins,50,64,99,4,1,78.12,England,36th-Match,1384427
Joe Root,c Inglis b Starc,13,17,23,2,0,76.47,England,36th-Match,1384427
Ben Stokes,c Stoinis b Zampa,64,90,128,2,3,71.11,England,36th-Match,1384427
Jos Buttler,c Green b Zampa,1,7,10,0,0,14.28,England,36th-Match,1384427
Moeen Ali,c Warner b Zampa,42,43,61,6,0,97.67,England,36th-Match,1384427
Liam Livingstone,c sub (SA Abbott) b Cummins,2,5,6,0,0,40.0,England,36th-Match,1384427
Chris Woakes,c Labuschagne b Stoinis,32,33,52,4,1,96.96,England,36th-Match,1384427
David Willey,c Zampa b Hazlewood,15,14,19,3,0,107.14,England,36th-Match,1384427
Adil Rashid,c Inglis b Hazlewood,20,15,23,1,1,133.33,England,36th-Match,1384427
Mark Wood,not out,0,0,1,0,0,0.0,England,36th-Match,1384427
batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Devon Conway,c Mohammad Rizwan b Hasan Ali,35,39,48,6,0,89.74,New Zealand,35th-Match,1384426
Rachin Ravindra,c Saud Shakeel b Mohammad Wasim,108,94,170,15,1,114.89,New Zealand,35th-Match,1384426
Kane Williamson,c Fakhar Zaman b Iftikhar Ahmed,95,79,111,10,2,120.25,New Zealand,35th-Match,1384426
Daryl Mitchell,b Haris Rauf,29,18,32,4,1,161.11,New Zealand,35th-Match,1384426
Mark Chapman,b Mohammad Wasim,39,27,42,7,0,144.44,New Zealand,35th-Match,1384426
Glenn Phillips,b Mohammad Wasim,41,25,40,4,2,164.0,New Zealand,35th-Match,1384426
Mitchell Santner,not out,26,17,27,0,2,152.94,New Zealand,35th-Match,1384426
Tom Latham,not out,2,2,4,0,0,100.0,New Zealand,35th-Match,1384426
Abdullah Shafique,c Williamson b Southee,4,9,8,1,0,44.44,Pakistan,35th-Match,1384426
Fakhar Zaman,not out,126,81,103,8,11,155.55,Pakistan,35th-Match,1384426
Babar Azam,not out,66,63,93,6,2,104.76,Pakistan,35th-Match,1384426
batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Wesley Barresi,lbw b Mujeeb Ur Rahman,1,4,3,0,0,25.0,Netherlands,34th-Match,1384425
Max O'Dowd,run out (Azmatullah Omarzai),42,40,50,9,0,105.0,Netherlands,34th-Match,1384425
Colin Ackermann,run out (Rashid Khan/Ikram Alikhil),29,35,71,4,0,82.85,Netherlands,34th-Match,1384425
Sybrand Engelbrecht,run out (Mohammad Nabi/Ikram Alikhil),58,86,85,6,0,67.44,Netherlands,34th-Match,1384425
Scott Edwards,run out (Ikram Alikhil),0,1,1,0,0,0.0,Netherlands,34th-Match,1384425
Bas de Leede,c Ikram Alikhil b Mohammad Nabi,3,6,5,0,0,50.0,Netherlands,34th-Match,1384425
Saqib Zulfiqar,c Ikram Alikhil b Noor Ahmad,3,15,19,0,0,20.0,Netherlands,34th-Match,1384425
Logan van Beek,st Ikram Alikhil b Mohammad Nabi,2,13,16,0,0,15.38,Netherlands,34th-Match,1384425
Roelof van der Merwe,c Ibrahim Zadran b Noor Ahmad,11,33,36,0,0,33.33,Netherlands,34th-Match,1384425
Aryan Dutt,not out,10,22,42,0,0,45.45,Netherlands,34th-Match,1384425
Paul van Meekeren,lbw b Mohammad Nabi,4,24,18,0,0,16.66,Netherlands,34th-Match,1384425
