bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Angelo Mathews,4.0,0,29,2,7.25,10,4,0,1,0,Sri Lanka,41st-Match,1384432
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Aryan Dutt,10.0,0,67,2,6.7,30,5,3,1,1,Netherlands,40th-Match,1384431
Logan van Beek,10.0,0,88,2,8.8,25,10,1,10,0,Netherlands,40th-Match,1384431
Paul van Meekeren,10.0,0,57,1,5.7,28,5,0,5,0,Netherlands,40th-Match,1384431
Bas de Leede,10.0,0,74,3,7.4,26,5,4,0,0,Netherlands,40th-Match,1384431
Roelof van der Merwe,3.0,0,22,0,7.33,6,0,2,0,0,Netherlands,40th-Match,1384431
Colin Ackermann,7.0,0,31,0,4.42,15,1,0,0,0,Netherlands,40th-Match,1384431
Chris Woakes,7.0,0,19,1,2.71,33,2,0,2,0,England,40th-Match,1384431
David Willey,7.0,2,19,2,2.71,33,3,0,0,0,England,40th-Match,1384431
Gus Atkinson,7.0,0,41,0,5.85,25,4,2,1,0,England,40th-Match,1384431
Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,England,40th-Match,1384431
Adil Rashid,8.0,0,54,3,6.75,22,5,2,1,0,England,40th-Match,1384431
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Mitchell Starc,9.0,0,70,1,7.77,26,4,4,5,0,Australia,39th-Match,1384430
Josh Hazlewood,9.0,0,39,2,4.33,30,2,1,1,0,Australia,39th-Match,1384430
Glenn Maxwell,10.0,0,55,1,5.5,24,2,1,0,1,Australia,39th-Match,1384430
Pat Cummins,8.0,0,47,0,5.87,25,5,1,1,0,Australia,39th-Match,1384430
Adam Zampa,10.0,0,58,1,5.8,22,2,2,2,0,Australia,39th-Match,1384430
Travis Head,3.0,0,15,0,5.0,7,1,0,0,0,Australia,39th-Match,1384430
Marcus Stoinis,1.0,0,2,0,2.0,4,0,0,0,0,Australia,39th-Match,1384430
Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,Afghanistan,39th-Match,1384430
Naveen-ul-Haq,9.0,0,47,2,5.22,34,5,2,1,0,Afghanistan,39th-Match,1384430
Azmatullah Omarzai,7.0,1,52,2,7.42,25,7,2,1,0,Afghanistan,39th-Match,1384430
