bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Hardik Pandya,3.0,0,28,1,9.33,8,6,0,0,0,India,5th-Match,1384396
Ravichandran Ashwin,10.0,1,34,1,3.4,32,2,0,0,0,India,5th-Match,1384396
Kuldeep Yadav,10.0,0,42,2,4.2,31,2,1,0,0,India,5th-Match,1384396
Ravindra Jadeja,10.0,2,28,3,2.8,38,2,0,0,0,India,5th-Match,1384396
Mitchell Starc,8.0,0,31,1,3.87,28,2,0,3,0,Australia,5th-Match,1384396
Josh Hazlewood,9.0,1,38,3,4.22,33,3,1,1,0,Australia,5th-Match,1384396
Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1,Australia,5th-Match,1384396
Glenn Maxwell,8.0,0,33,0,4.12,24,1,1,0,0,Australia,5th-Match,1384396
Cameron Green,2.0,0,11,0,5.5,7,2,0,0,0,Australia,5th-Match,1384396
Adam Zampa,8.0,0,53,0,6.62,13,4,0,0,0,Australia,5th-Match,1384396
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Kasun Rajitha,10.0,1,90,1,9.0,24,8,5,2,0,Sri Lanka,4th-Match,1384395
Dilshan Madushanka,10.0,0,86,2,8.6,25,12,1,3,1,Sri Lanka,4th-Match,1384395
Dasun Shanaka,6.0,0,36,0,6.0,10,1,1,0,0,Sri Lanka,4th-Match,1384395
Dhananjaya de Silva,4.0,0,39,0,9.75,9,4,2,1,0,Sri Lanka,4th-Match,1384395
Matheesha Pathirana,10.0,0,95,1,9.5,22,10,2,5,0,Sri Lanka,4th-Match,1384395
Dunith Wellalage,10.0,0,81,1,8.1,27,10,3,2,0,Sri Lanka,4th-Match,1384395
Lungi Ngidi,8.0,1,49,1,6.12,30,3,4,2,0,South Africa,4th-Match,1384395
Marco Jansen,10.0,0,92,2,9.2,31,10,6,3,0,South Africa,4th-Match,1384395
Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1,South Africa,4th-Match,1384395
Keshav Maharaj,10.0,0,62,2,6.2,33,6,2,2,0,South Africa,4th-Match,1384395
Gerald Coetzee,9.0,0,68,3,7.55,26,7,3,1,0,South Africa,4th-Match,1384395
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Taskin Ahmed,6.0,0,32,1,5.33,23,3,1,1,0,Bangladesh,3rd-Match,1384394
Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0,Bangladesh,3rd-Match,1384394
Mustafizur Rahman,7.0,1,28,1,4.0,26,2,1,0,0,Bangladesh,3rd-Match,1384394
Shakib Al Hasan,8.0,0,30,3,3.75,28,3,0,0,0,Bangladesh,3rd-Match,1384394
Mehidy Hasan Miraz,9.0,3,25,3,2.77,38,1,0,1,0,Bangladesh,3rd-Match,1384394
Mahmudullah,1.0,0,7,0,7.0,3,1,0,0,0,Bangladesh,3rd-Match,1384394
Fazalhaq Farooqi,5.0,0,19,1,3.8,22,2,0,2,0,Afghanistan,3rd-Match,1384394
Mujeeb Ur Rahman,7.0,0,30,0,4.28,26,3,1,0,0,Afghanistan,3rd-Match,1384394
Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1,Afghanistan,3rd-Match,1384394
Rashid Khan,9.0,0,48,0,5.33,24,5,0,0,0,Afghanistan,3rd-Match,1384394
Mohammad Nabi,6.0,1,18,0,3.0,20,0,0,1,0,Afghanistan,3rd-Match,1384394
Azmatullah Omarzai,2.0,0,9,1,4.5,7,1,0,0,0,Afghanistan,3rd-Match,1384394
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Aryan Dutt,10.0,0,48,1,4.8,37,7,0,2,0,Netherlands,2nd-Match,1384393
Logan van Beek,6.0,0,30,1,5.0,20,4,0,1,0,Netherlands,2nd-Match,1384393
Colin Ackermann,8.0,1,39,2,4.87,26,1,2,0,0,Netherlands,2nd-Match,1384393
Paul van Meekeren,6.0,0,40,1,6.66,16,5,0,2,0,Netherlands,2nd-Match,1384393
Bas de Leede,9.0,0,62,4,6.88,22,9,0,3,0,Netherlands,2nd-Match,1384393
Roelof van der Merwe,6.0,0,36,0,6.0,14,2,1,0,1,Netherlands,2nd-Match,1384393
Vikramjit Singh,2.0,0,16,0,8.0,5,3,0,0,0,Netherlands,2nd-Match,1384393
Saqib Zulfiqar,2.0,0,15,0,7.5,3,2,0,0,0,Netherlands,2nd-Match,1384393
Shaheen Shah Afridi,7.0,0,37,1,5.28,26,5,0,2,0,Pakistan,2nd-Match,1384393
Hasan Ali,7.0,1,33,2,4.71,31,6,0,4,0,Pakistan,2nd-Match,1384393
Haris Rauf,9.0,0,43,3,4.77,33,5,1,2,0,Pakistan,2nd-Match,1384393
Iftikhar Ahmed,3.0,0,16,1,5.33,7,1,0,0,0,Pakistan,2nd-Match,1384393
Mohammad Nawaz,7.0,0,31,1,4.42,23,2,1,0,0,Pakistan,2nd-Match,1384393
Shadab Khan,8.0,0,45,1,5.62,23,1,2,1,0,Pakistan,2nd-Match,1384393
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Trent Boult,10.0,1,48,1,4.8,34,3,2,1,0,New Zealand,1st-Match,1384392
Matt Henry,10.0,1,48,3,4.8,31,6,0,0,0,New Zealand,1st-Match,1384392
Mitchell Santner,10.0,0,37,2,3.7,26,0,0,1,0,New Zealand,1st-Match,1384392
James Neesham,7.0,0,56,0,8.0,15,5,2,2,0,New Zealand,1st-Match,1384392
Rachin Ravindra,10.0,0,76,1,7.6,14,6,2,0,0,New Zealand,1st-Match,1384392
Glenn Phillips,3.0,0,17,2,5.66,5,1,0,0,0,New Zealand,1st-Match,1384392
Chris Woakes,6.0,0,45,0,7.5,18,7,1,0,0,England,1st-Match,1384392
Sam Curran,6.0,2,47,1,7.83,17,6,1,2,0,England,1st-Match,1384392
Mark Wood,5.0,0,55,0,11.0,9,7,2,1,0,England,1st-Match,1384392
Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0,England,1st-Match,1384392
Adil Rashid,7.0,0,47,0,6.71,15,4,1,0,0,England,1st-Match,1384392
Liam Livingstone,3.0,0,24,0,8.0,7,4,0,0,0,England,1st-Match,1384392
